热轧排程评价体系评分指标项,,,,,,,
序号,评价项分类,评价项名称,计算公式,计分标准,单项记分,权重,加权分数
1,物料类型,主轧数,整个辊期全部主轧材标记物料总数,+1分/卷,,,
2,,可利用材数,整个辊期全部可利用材标记物料总数,-1分/卷,,,
3,,主轧段过渡材数,主轧段过渡材标记物料总数,-0.5分/卷,,,
4,轧宽,主轧段轧宽违规,轧宽衔接违反B类规则总数,-5分/处,,,
5,,主轧段轧宽趋势,"将主轧段全部物料轧宽和物料序号（x是物料在主轧段中的顺序，y是物料轧宽）拟合成为一次函数，计算主轧段物料轧宽距离该一次函数的标准差
离散点是距离拟合直线2个标准差之外的物料
离散点数总数",-2分/离散点,,,
6,,主轧段轧宽反跳,sum（主轧段中，当前物料顺序之前小于当前物料轧宽的数量）,-1分/处,,,
7,,过渡段轧宽趋势,"将过渡段全部物料轧宽和物料序号（x是物料在主轧段中的顺序，y是物料轧宽）拟合成为一次函数，计算过渡段物料轧宽距离该一次函数的标准差
离散点是距离拟合直线2个标准差之外的物料
离散点数总数",-2分/离散点,,,
8,,过渡段轧宽反跳,sum（过渡段中，当前物料顺序之前大于当前物料轧宽的数量）,-1分/处,,,
9,,轧宽尖点,"尖点指当前物料轧宽分别大于前后两卷物料轧宽
尖点总数",-2分/处,,,
10,,轧宽同规则集中,"全部物料规格，轧宽相同的物料视作同轧宽物料（独立一块物料视作一段，多块同轧宽物料连续排列也视作一段）
同轧宽段数量总和",-1分/段数,,,
11,轧厚,主轧段轧厚违规,轧厚衔接违反B类规则总数,-5分/处,,,
12,,主轧段轧厚趋势,"将主轧段全部物料轧厚和物料序号（x是物料在主轧段中的顺序，y是物料轧厚）拟合成为一次函数，计算主轧段物料轧厚距离该一次函数的标准差
离散点是距离拟合直线2个标准差之外的物料
离散点数总数",-2分/离散点,,,
13,,主轧段轧厚反跳,sum（主轧段中，当前物料顺序之前小于当前物料轧厚的数量）,-1分/处,,,
14,,过渡段轧厚趋势,"将过渡段全部物料轧厚和物料序号（x是物料在主轧段中的顺序，y是物料轧厚）拟合成为一次函数，计算过渡段物料轧厚距离该一次函数的标准差
离散点是距离拟合直线2个标准差之外的物料
离散点数总数",-2分/离散点,,,
15,,过渡段轧厚反跳,sum（过渡段中，当前物料顺序之前大于当前物料轧厚的数量）,-1分/处,,,
16,,轧厚尖点,"尖点指当前物料轧厚分别大于前后两卷物料轧厚
尖点总数",-2分/处,,,
17,,轧厚同规则集中,"全部物料规格，轧厚相同的物料视作同轧厚物料（独立一块物料视作一段，多块同轧厚物料连续排列也视作一段）
同轧厚段数量总和",+0.5分/卷,,,
18,出钢标记,出钢标记违规,出钢标记衔接违反B类规则总数,-5分/处,,,
19,,出钢标记集中,"全部物料规格，出钢标记相同的物料视作同出钢标记物料（独立一块物料视作一段，多块同出钢标记物料连续排列也视作一段）
同出钢标记段数量总和",+0.5分/卷,,,
20,冷热坯,热装数量,冷热标记为H的物料总数,+2分/卷,,,
21,,冷热交替,相邻两卷物料出现了C/H或者H/C切换总数,-1分/处,,,
22,公里数,辊期公里数合规,超过C类规则约束范围总数,-1分/超过数,,,
23,,烫辊过渡段合规,超过C类规则约束范围总数,-0.5分/超过数,,,
